module,group,param,idx,label,transform,raw_value,value
reg,alpha_c,alpha_channel,0,사망,none,-19.86704197123324,-19.86704197123324
reg,alpha_c,alpha_channel,1,중상,none,-15.981267204214214,-15.981267204214214
reg,alpha_c,alpha_channel,2,경상,none,-12.963291329974632,-12.963291329974632
reg,alpha_c,alpha_channel,3,전파,none,-12.859936915461956,-12.859936915461956
reg,alpha_c,alpha_channel,4,반파,none,-12.53012504523552,-12.53012504523552
reg,alpha_c,alpha_channel,5,일부파손,none,-9.479112389247204,-9.479112389247204
reg,alpha_e,alpha_event_free,0,2004 니가타현주에쓰,fixed(reference),0.0,0.0
reg,alpha_e,alpha_event_free,1,2007 니가타현주에쓰오키,none,-0.8275470804563182,-0.8275470804563182
reg,alpha_e,alpha_event_free,2,2008 이와테미야기,none,-2.638528242179611,-2.638528242179611
reg,alpha_e,alpha_event_free,3,2016 구마모토,none,-1.494607236314393,-1.494607236314393
reg,alpha_e,alpha_event_free,4,2018 오사카,none,-2.779207820086788,-2.779207820086788
reg,alpha_e,alpha_event_free,5,2018 훗카이도,none,-0.9105837002751586,-0.9105837002751586
reg,alpha_e,alpha_event_free,6,2021 후쿠시마,none,-2.3965363982213477,-2.3965363982213477
reg,alpha_e,alpha_event_free,7,2024 노토반도,none,-1.5542741158971707,-1.5542741158971707
reg,alpha_e,alpha_event_free,8,2000 돗토리,none,-2.691400164981686,-2.691400164981686
reg,beta_c,beta_pgv,0,사망,none,3.2197691922061353,3.2197691922061353
reg,beta_c,beta_pgv,1,중상,none,2.424136595404261,2.424136595404261
reg,beta_c,beta_pgv,2,경상,none,1.9399551009280396,1.9399551009280396
reg,beta_c,beta_pgv,3,전파,none,2.382765848123802,2.382765848123802
reg,beta_c,beta_pgv,4,반파,none,2.7999797167268965,2.7999797167268965
reg,beta_c,beta_pgv,5,일부파손,none,2.7272209080239085,2.7272209080239085
reg,delta_c,delta_wood,0,사망,none,0.20800573031189176,0.20800573031189176
reg,delta_c,delta_wood,1,중상,none,0.2743145071905121,0.2743145071905121
reg,delta_c,delta_wood,2,경상,none,0.02390560484510964,0.02390560484510964
reg,delta_c,delta_wood,3,전파,none,0.8586131048831745,0.8586131048831745
reg,delta_c,delta_wood,4,반파,none,0.5500243588021612,0.5500243588021612
reg,delta_c,delta_wood,5,일부파손,none,0.2161253319794797,0.2161253319794797
reg,gamma_LS,_gamma_ls_unconstrained,0,사망,softplus,-0.6844252546095668,0.40838087737525225
reg,gamma_LS,_gamma_ls_unconstrained,1,중상,softplus,-0.3032249440131608,0.5529841164223683
reg,gamma_LS,_gamma_ls_unconstrained,2,경상,softplus,-0.3721939489331397,0.5242672130593342
reg,gamma_LS,_gamma_ls_unconstrained,3,전파,softplus,-1.8972069094813007,0.13975060481294277
reg,gamma_LS,_gamma_ls_unconstrained,4,반파,softplus,-1.3990974414724158,0.22059601518178074
reg,gamma_LS,_gamma_ls_unconstrained,5,일부파손,softplus,-1.130642231900423,0.2797702519534997
reg,gamma_LQ,_gamma_lq_unconstrained,0,사망,softplus,-0.6005996842675803,0.4372754972828509
reg,gamma_LQ,_gamma_lq_unconstrained,1,중상,softplus,-0.6130540755986995,0.432881789740846
reg,gamma_LQ,_gamma_lq_unconstrained,2,경상,softplus,0.1272427034866083,0.7587910066669309
reg,gamma_LQ,_gamma_lq_unconstrained,3,전파,softplus,-0.8861100258467265,0.34518864104740354
reg,gamma_LQ,_gamma_lq_unconstrained,4,반파,softplus,-0.29218377982570787,0.5576889657150456
reg,gamma_LQ,_gamma_lq_unconstrained,5,일부파손,softplus,0.07854620480107581,0.7331912730842736
lik,phi_c,_phi_unconstrained,0,사망,softplus,-0.5883466203657687,0.4416328041772329
lik,phi_c,_phi_unconstrained,1,중상,softplus,-0.3094834755634776,0.5503304681027752
lik,phi_c,_phi_unconstrained,2,경상,softplus,-0.34189903427480767,0.5367389129698266
lik,phi_c,_phi_unconstrained,3,전파,softplus,-1.778216457840074,0.1560966613716169
lik,phi_c,_phi_unconstrained,4,반파,softplus,-1.4384140796970772,0.2129346617492164
lik,phi_c,_phi_unconstrained,5,일부파손,softplus,-0.5259514204339817,0.46435823278897104
pri,a,a,0,LS,fixed(mode=area),1.0,1.0
pri,a,a,1,LQ,fixed(mode=area),1.0,1.0
pri,b,b,0,LS,fixed(mode=area),0.0,0.0
pri,b,_b_lq_raw,1,LQ,"bounded[-12.0,20.0]",-1.118469532849299,-4.118551045358825
pri,c,c,0,LS,fixed(mode=area),1.0,1.0
pri,c,c,1,LQ,fixed(mode=area),1.0,1.0
