module,group,param,idx,label,transform,raw_value,value
reg,alpha_c,alpha_channel,0,사망,none,-19.770131475301753,-19.770131475301753
reg,alpha_c,alpha_channel,1,중상,none,-15.933237041972113,-15.933237041972113
reg,alpha_c,alpha_channel,2,경상,none,-13.028638581666174,-13.028638581666174
reg,alpha_c,alpha_channel,3,전파,none,-12.869000818345938,-12.869000818345938
reg,alpha_c,alpha_channel,4,반파,none,-12.609912809356555,-12.609912809356555
reg,alpha_c,alpha_channel,5,일부파손,none,-9.412861796044938,-9.412861796044938
reg,alpha_e,alpha_event_free,0,2004 니가타현주에쓰,fixed(reference),0.0,0.0
reg,alpha_e,alpha_event_free,1,2007 니가타현주에쓰오키,none,-0.7396170519336807,-0.7396170519336807
reg,alpha_e,alpha_event_free,2,2008 이와테미야기,none,-2.5474937500901045,-2.5474937500901045
reg,alpha_e,alpha_event_free,3,2016 구마모토,none,-1.507584838034708,-1.507584838034708
reg,alpha_e,alpha_event_free,4,2018 오사카,none,-2.832135499982352,-2.832135499982352
reg,alpha_e,alpha_event_free,5,2018 훗카이도,none,-0.809084046192464,-0.809084046192464
reg,alpha_e,alpha_event_free,6,2021 후쿠시마,none,-2.369793842862399,-2.369793842862399
reg,alpha_e,alpha_event_free,7,2024 노토반도,none,-1.401282975162805,-1.401282975162805
reg,alpha_e,alpha_event_free,8,2000 돗토리,none,-2.713170761119933,-2.713170761119933
reg,beta_c,beta_pgv,0,사망,none,3.2018503117730974,3.2018503117730974
reg,beta_c,beta_pgv,1,중상,none,2.417484176631428,2.417484176631428
reg,beta_c,beta_pgv,2,경상,none,1.978124518317907,1.978124518317907
reg,beta_c,beta_pgv,3,전파,none,2.344755118215543,2.344755118215543
reg,beta_c,beta_pgv,4,반파,none,2.7631905777297625,2.7631905777297625
reg,beta_c,beta_pgv,5,일부파손,none,2.666600734641138,2.666600734641138
reg,delta_c,delta_wood,0,사망,none,0.15202661612383173,0.15202661612383173
reg,delta_c,delta_wood,1,중상,none,0.21852108389295358,0.21852108389295358
reg,delta_c,delta_wood,2,경상,none,-0.0334559446755195,-0.0334559446755195
reg,delta_c,delta_wood,3,전파,none,0.8228591392064947,0.8228591392064947
reg,delta_c,delta_wood,4,반파,none,0.5087605097486589,0.5087605097486589
reg,delta_c,delta_wood,5,일부파손,none,0.17110161461918472,0.17110161461918472
reg,gamma_LS,_gamma_ls_unconstrained,0,사망,softplus,-0.3330157161437604,0.5404381698336811
reg,gamma_LS,_gamma_ls_unconstrained,1,중상,softplus,0.04666506345631964,0.7167518911118611
reg,gamma_LS,_gamma_ls_unconstrained,2,경상,softplus,0.15404241325438142,0.773131592304627
reg,gamma_LS,_gamma_ls_unconstrained,3,전파,softplus,-0.7698246414442388,0.3805535551867152
reg,gamma_LS,_gamma_ls_unconstrained,4,반파,softplus,-0.19703487420285812,0.5994747563952199
reg,gamma_LS,_gamma_ls_unconstrained,5,일부파손,softplus,-0.27472701907286895,0.5651885172417589
reg,gamma_LQ,_gamma_lq_unconstrained,0,사망,softplus,-3.9854294589640262,0.018413880438563488
reg,gamma_LQ,_gamma_lq_unconstrained,1,중상,softplus,-4.245604386957192,0.014225409338744147
reg,gamma_LQ,_gamma_lq_unconstrained,2,경상,softplus,-2.3670219439106654,0.08962087368510088
reg,gamma_LQ,_gamma_lq_unconstrained,3,전파,softplus,-2.778478088919696,0.06027914694951194
reg,gamma_LQ,_gamma_lq_unconstrained,4,반파,softplus,-2.1275058055371163,0.1125552319154537
reg,gamma_LQ,_gamma_lq_unconstrained,5,일부파손,softplus,-1.5672016250016063,0.18948598599145636
lik,phi_c,_phi_unconstrained,0,사망,softplus,-0.6290197059816954,0.42730106127347744
lik,phi_c,_phi_unconstrained,1,중상,softplus,-0.34076674171000043,0.5372093643853765
lik,phi_c,_phi_unconstrained,2,경상,softplus,-0.424350653227944,0.5033141509315883
lik,phi_c,_phi_unconstrained,3,전파,softplus,-1.78977088025026,0.15443500619299305
lik,phi_c,_phi_unconstrained,4,반파,softplus,-1.4464558162088033,0.21139733244182182
lik,phi_c,_phi_unconstrained,5,일부파손,softplus,-0.5740361321047479,0.44676539042995633
pri,a,a,0,LS,fixed(mode=area),1.0,1.0
pri,a,a,1,LQ,fixed(mode=area),1.0,1.0
pri,b,_b_raw,0,LS,"bounded[-2.0,4.0]",-1.472738432015176,-0.880839544552299
pri,b,b,1,LQ,fixed(mode=area),0.0,0.0
pri,c,c,0,LS,fixed(mode=area),1.0,1.0
pri,c,c,1,LQ,fixed(mode=area),1.0,1.0
pri,kappa,kappa,0,LS,none,-0.3658165842207748,-0.3658165842207748
